RegionID,RegionName,SizeRank,CBSAName,CBSACode,Month,CBSATitle,Nielsen HH Rank,hrank,Hotness Rank M/M,Hotness Rank Y/Y,hscore,Supply Score,Demand Score,Median DOM,Median DOM M/M,Median DOM M/M Perc,Median DOM Y/Y,Median DOM Y/Y Perc,Median DOM (vs US),Views Per Property M/M,Views Per Property Y/Y,Views Per Property  (vs US),MedListPrice,Median Listing Price M/M,Median Listing Price Y/Y,Median Listing Price  (vs US),Quality Flag,Index,2018-09
394458,"Charlotte, NC",24,"Charlotte-Concord-Gastonia, NC-SC",16740.0,201812.0,"Charlotte-Concord-Gastonia, NC-SC",24.0,32.0,13.0,29.0,81.43812700000001,72.57525084,90.30100334,69.0,7.0,0.1129,-6.0,-0.08,-11.0,0.0104,0.2125,1.5902,323268.0,-0.0068,-0.0053,1.1186,0.0,Mortgage Affordability,0.155672142500487
395012,"Raleigh, NC",48,"Raleigh, NC",39580.0,201812.0,"Raleigh, NC",46.0,97.0,0.0,-27.0,63.377926,50.8361204,75.91973244,78.0,10.5,0.1556,5.0,0.0685,-2.0,-0.0119,0.13699999999999998,1.3607,339900.0,0.0,0.013999999999999999,1.1761,0.0,Mortgage Affordability,0.170506228153025
