RegionID,RegionName,PopRank,tier,1999-06-30,1999-09-30,1999-12-31,2000-03-31,2000-06-30,2000-09-30,2000-12-31,2001-03-31,2001-06-30,2001-09-30,2001-12-31,2002-03-31,2002-06-30,2002-09-30,2002-12-31,2003-03-31,2003-06-30,2003-09-30,2003-12-31,2004-03-31,2004-06-30,2004-09-30,2004-12-31,2005-03-31,2005-06-30,2005-09-30,2005-12-31,2006-03-31,2006-06-30,2006-09-30,2006-12-31,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
102001,United States,0,Bottom Tier,0.303984881221632,0.316021202554033,0.323100260266565,0.33726464724875,0.341344989486894,0.331887582245646,0.318398180831407,0.308805972822357,0.318768627066363,0.310423041954578,0.320435661018384,0.321692468338704,0.313119363180369,0.298281734632186,0.300465810152531,0.294625188941675,0.281879374247495,0.316574000436207,0.312623058562462,0.304368444656626,0.34148983980468,0.330437373328066,0.337873916440352,0.350609362622348,0.343928444507525,0.354600144204314,0.376806343496532,0.380587364676732,0.396412509479849,0.389209886469304,0.38044223465882,0.381736390882163,0.401407036454675,0.388315968179745,0.372382494360865,0.360304581367396,0.364226700680414,0.342198599224179,0.304920768552191,0.285505170012924,0.288143297403291,0.268658926595444,0.26186680901263,0.263928043482657,0.2550297794381,0.237583226071685,0.239549168173963,0.23476994613208,0.218314719366115,0.202728916679874,0.19546398322338,0.193004781492129,0.185505895065879,0.181903309953741,0.179117612446794,0.185228119346366,0.199449907886839,0.210729102708919,0.209944726057533,0.206140213126913,0.203001017481887,0.20480389012829,0.199047261034596,0.198005764103407,0.205807802254957,0.205446332795968,0.210353007552438,0.206242725810897,0.207603011260042,0.209890180932518,0.235804803539656,0.241145820060556,0.238614376860098
102001,United States,0,Middle Tier,0.185878811407034,0.193665657461165,0.200559498457265,0.210686102680623,0.21396716705232,0.207214724077701,0.197932926940453,0.193125762915373,0.199993349107102,0.195911070292467,0.203601766240261,0.206492166027642,0.199736994478771,0.190564340593056,0.192868366639658,0.189555595251364,0.181167143554511,0.203085495579313,0.200411373873807,0.194954997732782,0.217823293645308,0.209996473275527,0.21251167222052,0.21963508005878,0.215177261027875,0.224377345442829,0.239842225139792,0.242085260918414,0.252333645886683,0.244539365706606,0.23617043178473,0.234523308159097,0.243610718071271,0.231705529380439,0.220875984188901,0.212157326608874,0.211560498070088,0.198775664700081,0.17988320278753,0.173071508691122,0.178988374605952,0.171056639047146,0.167595906685435,0.168189457141164,0.161255110037178,0.151477284957991,0.15556334865997,0.154219316327116,0.146314333295495,0.137422798191948,0.134329307706429,0.133351776222794,0.129276083847253,0.126935292252044,0.12403979617826,0.129009838310123,0.13952970975876,0.15054509261599,0.151362455605243,0.1498801255886,0.146978674985017,0.147218970268034,0.141959238272188,0.140808566829457,0.145111500566184,0.144375389093966,0.14610955660788,0.142303184709199,0.141535578048698,0.141410392187169,0.156327152871342,0.157769484652771,0.153850274660886
102001,United States,0,Upper Tier,0.152307116400269,0.158555238181505,0.162712644614542,0.170842517105099,0.173627586625719,0.168954227808164,0.162069546172691,0.156823189484527,0.16179286903881,0.157800867889745,0.163473626068948,0.164341036654569,0.159650581905403,0.151915860926759,0.152917420382543,0.14971846133093,0.143136333386809,0.160333208181041,0.158330626871205,0.154192376656982,0.172968521607206,0.167666957235802,0.171717761472717,0.17913934253995,0.177572337372731,0.18503835339264,0.197902967305351,0.200316019735481,0.208452644974999,0.202273176880036,0.195358743482484,0.194417685563468,0.202564296875971,0.194424910717384,0.185134872038358,0.178570051952515,0.180696863047494,0.171182335742748,0.154437345454779,0.146813855871548,0.150277660077391,0.14201988089436,0.139050578870319,0.139284868485171,0.133848508486773,0.124756239457802,0.127111864390024,0.125877505853818,0.119141303011728,0.112112850971971,0.1092341277259,0.108571380070428,0.105144347915031,0.10339848559715,0.102075936416892,0.105660333464593,0.114048170250356,0.121211476432169,0.121058430310674,0.119648576341035,0.117362869238017,0.117905735580579,0.113859447517385,0.112647364210387,0.11610979544452,0.116479260630705,0.119109259565601,0.116786506336471,0.116843960545248,0.117129450442587,0.130297706267045,0.13207914548493,0.12934556203494
394347,"Atlanta, GA",9,Bottom Tier,0.264996205110828,0.277413010153985,0.285499698392676,0.302071380573643,0.310339466280337,0.305837758589478,0.296811055609381,0.290359011225054,0.302033209454936,0.297985336399747,0.311920009385612,0.317248307612407,0.312638403192052,0.299515227086837,0.301863344990749,0.295036168947074,0.280909809180182,0.31269381354078,0.305557076259111,0.294992600163806,0.324471000632531,0.306675635030436,0.308661421828647,0.315889835577317,0.306735806269964,0.311724367618193,0.326719937439223,0.324649065702936,0.332818037873896,0.324608274906426,0.316590024123146,0.318060868882762,0.334929088817715,0.331598006655356,0.322847991508577,0.315209112091087,0.324070916870332,0.305554946239257,0.272013334058415,0.252844552877769,0.252788873083743,0.229259694901595,0.215739114004532,0.215104396631697,0.202209404033209,0.185654357995558,0.18378773340406,0.17298793919505,0.154720296466691,0.134954337060845,0.122142116459096,0.116476207183098,0.110349087183647,0.107496332145405,0.109619944399873,0.115388639293052,0.128289043165943,0.138713868966132,0.14280748557959,0.144622598580626,0.14466845613667,0.150184613838197,0.147870201488774,0.146731948109211,0.153510747189205,0.154412142430611,0.157036916025447,0.154448674108833,0.157635788757959,0.162596085643031,0.183971671474785,0.190112930847887,0.189260142956931
394347,"Atlanta, GA",9,Middle Tier,0.167755639265081,0.174504402340042,0.179830391927563,0.187177572824288,0.189345096582652,0.184558076606176,0.177741362099798,0.173904948315543,0.179824003434572,0.176415689212675,0.183499132300807,0.186929922328688,0.182807513094685,0.17603019392447,0.17765350211835,0.173537364066939,0.164666314615313,0.181849228826651,0.176655685542142,0.169681446750198,0.186075087485575,0.17514922277972,0.174865038436986,0.177841701111022,0.171254763162974,0.175719272323742,0.186089714889675,0.186668196715598,0.193825779185614,0.18883229851941,0.18313508230702,0.182403667744972,0.190512640527481,0.183650302132323,0.176245831123709,0.171532328637314,0.174122113162332,0.165010936005104,0.148787784028947,0.141270902888928,0.143506158371052,0.135692369040069,0.133821097023621,0.135429552854958,0.1295034835487,0.121478330116107,0.123545911864689,0.121253399928635,0.113146963109346,0.103841928568527,0.0982018985560286,0.0964323598089803,0.0939560871141665,0.0928173883601794,0.091871813916456,0.0964953730445806,0.105803204274644,0.116173535531909,0.119648363171389,0.12044215551697,0.119835456395942,0.121147336618434,0.117907634382343,0.116766605981816,0.120802606673074,0.120574777724498,0.121246098933871,0.11736885395755,0.117308175779043,0.118071980506501,0.131572631651989,0.13295474432772,0.129270747715927
394347,"Atlanta, GA",9,Upper Tier,0.146564185322727,0.153503303398492,0.15770740737372,0.165621040113406,0.168882495938568,0.165396880178082,0.159366676825984,0.154393782880415,0.158438357881033,0.153446689108197,0.158340598532809,0.15892566564847,0.153675789113079,0.144977443742225,0.144994009878243,0.141020038358429,0.133327717875458,0.147670449301587,0.144063459602596,0.138115057106355,0.153294481853441,0.146760215930145,0.147706799571072,0.151836365832906,0.148459373878466,0.152925841982008,0.162712976109101,0.164543182931249,0.171429517206169,0.167703251114099,0.163442096852548,0.163969763099538,0.172026042836299,0.168008445249275,0.162937878235961,0.159548751142552,0.16361725407797,0.156168140455483,0.141875490664183,0.135514235030325,0.138932886231792,0.130734959802121,0.1276044008892,0.127215660712652,0.121077967876745,0.11233660335836,0.113640705291656,0.111385873308798,0.105270675156616,0.0982341757805836,0.0948549619787466,0.0944563895932497,0.0919304917933204,0.0913857510173012,0.0910004040462845,0.0951340336231206,0.103570066827557,0.110770182689919,0.111867152929304,0.111795480983803,0.111096779711634,0.11183775599634,0.108238476194064,0.10622039783092,0.109259730314764,0.109385084360681,0.111496932269114,0.110057978328074,0.111315884774441,0.113176697346643,0.127092835540192,0.129210849346815,0.125745080077011
394355,"Austin, TX",35,Bottom Tier,0.375187747501385,0.391891118624771,0.406876235963851,0.430092717361139,0.440500942000945,0.432167835592685,0.415737841841192,0.400533693931411,0.410285503706641,0.396226784733176,0.407552902889371,0.408087545221361,0.3957379614431,0.374399796706512,0.372191954017454,0.360137841712701,0.340666416300618,0.380826216585984,0.372205998674696,0.359252189845684,0.395900102398083,0.374093210882692,0.373896357051409,0.379166574087998,0.365333507375573,0.366184346582486,0.380188442720735,0.375286792285852,0.383477972525417,0.370527345954797,0.359424285512363,0.359996028098346,0.378584436766723,0.372520187845847,0.365325526354227,0.361729662116993,0.374531415963613,0.370902184605486,0.348602736406327,0.34532934714786,0.369941871633239,0.348681589568786,0.339272009657223,0.336212402190331,0.324668452911635,0.30566435395756,0.313126330411048,0.31163109711306,0.293564882993461,0.271242181436789,0.258007820885931,0.252231120543374,0.238949033953585,0.23855018808981,0.24001651192504,0.251464872898243,0.272908857244566,0.280830621674786,0.276187031181743,0.267780003101044,0.259850889201725,0.26186723014633,0.25361013698223,0.250494794813407,0.260075531207757,0.263358325296115,0.271560008790161,0.27108665327405,0.275638097543322,0.279549007564558,0.310870025742632,0.314719205773249,0.30726827000763
394355,"Austin, TX",35,Middle Tier,0.212495284194287,0.220340952984784,0.227857352605561,0.235654755552215,0.234991172092126,0.22731122866538,0.218711483006032,0.211828361692763,0.218826117311979,0.214064522532467,0.221870205457633,0.222926917390823,0.214450691850767,0.203823932866904,0.203895174071783,0.197646710400579,0.186794138872083,0.202217975806785,0.192964465443383,0.185798193522137,0.205497124432012,0.194632618081512,0.194515054242429,0.197213279181999,0.188999981598246,0.193240278762896,0.204570688129593,0.2045061876772,0.213233823969951,0.209102261283233,0.204773234884897,0.204922914205331,0.213239660861164,0.20803621613116,0.206205730442057,0.202684157657633,0.206679442406998,0.196049208637887,0.177124552264333,0.171489466044895,0.179728602806287,0.175070978028543,0.17479406545242,0.176183876687966,0.170956589032317,0.161437359916777,0.167944153234975,0.168097859120293,0.159924878183411,0.150307126380592,0.147356980168157,0.146632829477174,0.141601500858334,0.13789390112276,0.1337787430518,0.137858434123583,0.147296597818252,0.158597034109764,0.159661925072069,0.157771011175354,0.155677418461437,0.159146268666054,0.156215270463119,0.156551639295479,0.163935227377187,0.163148596532218,0.164811474515099,0.160334255742089,0.160771406663041,0.160419717572248,0.176479433713678,0.17816870988063,0.172961689049928
394355,"Austin, TX",35,Upper Tier,0.197479229406754,0.204345083390155,0.207613060965809,0.214818821705499,0.214992697554967,0.207364210996964,0.197042628977418,0.18782527389575,0.190922558840939,0.183961392888887,0.186663582721952,0.182416987045172,0.173638319453698,0.162897087801608,0.16053779598394,0.152870852150986,0.141121965035575,0.149093926194016,0.141701996561711,0.136469295661251,0.153167646570449,0.149480108340148,0.153604666238197,0.159877086990997,0.155652132505349,0.160334374750134,0.17002924589256,0.171658196877527,0.179098042674951,0.175070286969692,0.170938140811882,0.171013018898539,0.179603413660132,0.177083973921193,0.173341010054631,0.170950002490348,0.17703854560126,0.170449358806273,0.155017944963053,0.148264654772929,0.153106495980048,0.142916080439954,0.138585619040473,0.13811909232052,0.132884369163986,0.125887802515751,0.130833150386949,0.131520506688283,0.125759903557954,0.118829327282217,0.115899073671647,0.11598590296001,0.113050804929196,0.112733451879246,0.113104252353291,0.117901896681317,0.127279904233219,0.133514017644227,0.13246224424196,0.12952592428503,0.126573361683847,0.128495409885032,0.124733007911469,0.123682137176356,0.127814267711523,0.128487368481453,0.131130458980009,0.129155614413047,0.129937990424392,0.130320351298722,0.144094053129345,0.145501371839613,0.141688393871795
394358,"Baltimore, MD",20,Bottom Tier,0.251283114776422,0.256935891184998,0.258846225652247,0.267080590415462,0.267595504128013,0.257245526176893,0.244431557083694,0.234883344893254,0.240584536100545,0.232467605142724,0.238434995346104,0.238858824451697,0.232013657285382,0.220560726523271,0.221744193037986,0.217288338179846,0.20698230571093,0.231778542758107,0.229288299873545,0.223870240727612,0.25157531190669,0.245032583260559,0.25530876766708,0.27108608966911,0.275256712199826,0.302556120952999,0.340501904343601,0.361264733781371,0.392977392413299,0.391803935501884,0.387676797783516,0.392420080018209,0.415724462593292,0.407377184716853,0.393227233191973,0.385797491345375,0.39628392025769,0.376132200297472,0.341395533478969,0.327088703255957,0.335686941474835,0.322218640107663,0.318655582437896,0.320189155140862,0.308486725749483,0.284717633096934,0.284316569465834,0.269283591354126,0.24568787883767,0.22025138514316,0.205349748113129,0.202434485812734,0.192415565351203,0.187304215101843,0.181025440649957,0.183423949352733,0.197486009091526,0.205219406160407,0.203575478800978,0.196489506986044,0.189352340184431,0.191645231715642,0.186516762446735,0.186537449793369,0.191436506445323,0.185507798271067,0.183931559798276,0.177952851287566,0.177034018671116,0.177772598192421,0.198404333262664,0.1973927912277,0.189140541891597
