Month,CountyFIPS,CountyName,Nielsen HH Rank,Hotness Rank Within CBSA,CBSACode,CBSATitle,Hotness Rank ,Hotness Rank M/M,Hotness Rank Y/Y,Hotness Score,Supply Score,Demand Score,Median DOM,Median DOM M/M,Median DOM M/M Perc,Median DOM Y/Y,Median DOM Y/Y Perc,Median DOM (vs US),Median DOM (vs CBSA),Views Per Property M/M,Views Per Property Y/Y,Views Per Property  (vs US),Views Per Property  (vs CBSA),Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Median Listing Price  (vs US),Median Listing Price  (vs CBSA),Quality Flag
201812,49057,"Weber, UT",306,2,36260,"Ogden-Clearfield, UT",248,19,-49,71.271271,97.0970970970971,45.4454454454455,53.00,5.00,0.1042,4.00,0.0816,-27.00,1.00,-0.0085,0.0943,0.9508,1.0000,345900.000000,0.0457,0.1729,1.1969,0.9649,0
201812,26075,"Jackson, MI",407,1,27100,"Jackson, MI",207,-20,90,74.274274,78.1781781781782,70.3703703703704,67.00,10.00,0.1754,-8.00,-0.1067,-13.00,0.00,-0.0256,0.2063,1.2459,1.0000,149000.000000,-0.0063,-0.0060,0.5156,1.0000,0
201812,36119,"Westchester, NY",52,10,35620,"New York-Newark-Jersey City, NY-NJ-PA",484,-44,24,51.751752,38.8388388388388,64.6646646646647,89.00,15.00,0.2027,-6.00,-0.0632,9.00,5.00,0.0286,0.1803,1.1803,1.4118,649500.000000,-0.0434,0.0493,2.2474,1.2374,0
201812,13185,"Lowndes, GA",554,1,46660,"Valdosta, GA",793,-7,118,26.826827,33.5335335335335,20.1201201201201,93.00,11.00,0.1341,-16.00,-0.1468,13.00,2.50,0.0488,0.5357,0.7049,1.0000,168500.000000,-0.0056,0.0385,0.5830,1.0274,0
201812,30111,"Yellowstone, MT",384,1,13740,"Billings, MT",454,-47,-273,53.303303,42.3423423423423,64.2642642642643,87.00,15.00,0.2083,15.00,0.2083,7.00,-12.50,0.0141,-0.0270,1.1803,1.0909,259900.000000,-0.0001,-0.0002,0.8993,0.9590,0
201812,06047,"Merced, CA",318,1,32900,"Merced, CA",308,26,-128,65.215215,87.2872872872873,43.1431431431431,63.00,11.50,0.2233,10.00,0.1887,-17.00,0.00,0.0364,0.0179,0.9344,1.0000,299999.500000,0.0003,-0.0164,1.0381,1.0000,0
201812,51003,"Albemarle, VA",557,2,16820,"Charlottesville, VA",933,-8,24,10.11011,8.70870870870871,11.5115115115115,120.50,14.75,0.1395,-0.50,-0.0041,40.50,-1.50,-0.0411,0.4000,0.5738,0.8974,499000.000000,-0.0048,-0.0810,1.7266,1.3307,0
201812,34021,"Mercer, NJ",193,1,45940,"Trenton, NJ",350,-5,117,61.611612,51.0510510510511,72.1721721721722,81.00,9.50,0.1329,-9.00,-0.1000,1.00,0.00,0.0065,0.2787,1.2787,1.0000,290000.000000,-0.0475,0.1600,1.0035,1.0000,0
201812,27003,"Anoka, MN",204,2,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",44,15,52,89.389389,96.4964964964965,82.2822822822823,54.00,6.50,0.1368,-6.00,-0.1000,-26.00,-11.00,0.0173,0.2222,1.4426,1.2222,300000.000000,0.0540,-0.0319,1.0381,0.8826,0
201812,06053,"Monterey, CA",195,1,41500,"Salinas, CA",339,-71,-23,63.263263,36.8368368368368,89.6896896896897,90.00,15.50,0.2081,0.50,0.0056,10.00,0.00,-0.0196,0.1236,1.6393,1.0000,879450.000000,0.0432,-0.0222,3.0431,1.0000,0
201812,34001,"Atlantic, NJ",256,1,12100,"Atlantic City-Hammonton, NJ",734,-38,104,31.231231,27.7277277277277,34.7347347347347,97.00,7.50,0.0838,-13.00,-0.1182,17.00,0.00,-0.1034,0.3684,0.8525,1.0000,239900.000000,-0.0085,0.0476,0.8301,1.0000,0
201812,51710,"Norfolk city, VA",287,3,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",601,-13,3,42.542543,81.2812812812813,3.8038038038038,66.00,9.50,0.1681,-2.00,-0.0294,-14.00,-9.00,-0.0526,0.3500,0.4426,0.8710,219900.000000,0.0021,0.0380,0.7609,0.7882,0
201812,54003,"Berkeley, WV",544,2,25180,"Hagerstown-Martinsburg, MD-WV",721,-111,-85,32.282282,33.5335335335335,31.031031031031,93.00,13.00,0.1625,7.00,0.0814,13.00,4.00,-0.1453,0.2500,0.8197,0.8929,219945.000000,0.0001,0.1279,0.7611,0.9732,0
201812,12101,"Pasco, FL",127,4,45300,"Tampa-St. Petersburg-Clearwater, FL",111,24,-1,82.382382,90.2902902902903,74.4744744744745,60.00,2.00,0.0345,-2.00,-0.0323,-20.00,-2.00,-0.0698,0.1429,1.3115,0.9195,227000.000000,0.0027,-0.0049,0.7855,0.8734,0
201812,37019,"Brunswick, NC",455,2,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",909,-2,23,12.812813,7.50750750750751,18.1181181181181,121.00,5.00,0.0431,0.00,0.0000,41.00,7.00,-0.0465,0.4138,0.6721,1.1389,305000.000000,-0.0183,0.0304,1.0554,1.2449,0
201812,47147,"Robertson, TN",809,3,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",40,-3,-10,89.68969,99.1991991991992,80.1801801801802,50.00,7.00,0.1628,6.00,0.1364,-30.00,-2.00,-0.0171,0.0238,1.4098,1.0118,274900.000000,0.0018,0.0577,0.9512,0.7857,0
201812,29021,"Buchanan, MO",654,1,41140,"St. Joseph, MO-KS",643,-63,101,38.938939,47.1471471471471,30.7307307307307,83.50,11.00,0.1517,-12.50,-0.1302,3.50,-2.00,-0.0741,0.2821,0.8197,1.0204,131400.000000,-0.0252,0.0520,0.4547,1.0115,0
201812,37159,"Rowan, NC",462,6,16740,"Charlotte-Concord-Gastonia, NC-SC",274,-23,354,68.418418,60.5605605605606,76.2762762762763,75.50,8.00,0.1185,-23.50,-0.2374,-4.50,6.50,-0.0409,0.6078,1.3443,0.8454,207400.000000,0.0122,0.2574,0.7176,0.6416,0
201812,37025,"Cabarrus, NC",356,1,16740,"Charlotte-Concord-Gastonia, NC-SC",50,44,48,88.888889,88.8888888888889,88.8888888888889,61.00,5.50,0.0991,-7.50,-0.1095,-19.00,-8.00,0.0486,0.1149,1.5902,1.0000,299900.000000,-0.0003,0.0451,1.0377,0.9277,0
201812,48423,"Smith, TX",303,1,46340,"Tyler, TX",165,11,98,77.477477,58.1581581581582,96.7967967967968,76.00,6.75,0.0975,-6.00,-0.0732,-4.00,0.00,-0.0288,0.4048,1.9344,1.0442,275000.000000,0.0252,0.0223,0.9516,0.9860,0
201812,41011,"Coos, OR",765,1,18300,"Coos Bay, OR",536,-53,95,47.297297,19.9199199199199,74.6746746746747,103.00,13.00,0.1444,-8.00,-0.0721,23.00,0.00,-0.0471,0.3729,1.3279,1.0000,250000.000000,-0.0224,-0.0706,0.8651,1.0000,0
201812,39153,"Summit, OH",112,1,10420,"Akron, OH",74,39,152,86.486486,83.5835835835836,89.3893893893894,65.00,6.00,0.1017,-7.00,-0.0972,-15.00,-1.00,0.0206,0.5000,1.6230,0.9900,134900.000000,-0.0361,0.0801,0.4668,0.8999,0
201812,01043,"Cullman, AL",674,1,18980,"Cullman, AL",853,-1,30,19.96997,12.8128128128128,27.1271271271271,113.00,12.25,0.1216,3.50,0.0320,33.00,0.00,0.0105,0.5000,0.7869,1.0000,212000.000000,-0.0135,-0.0578,0.7336,0.9888,0
201812,40145,"Wagoner, OK",748,3,46140,"Tulsa, OK",495,91,-148,50.750751,69.2692692692693,32.2322322322322,72.00,3.50,0.0511,10.00,0.1613,-8.00,4.00,0.0408,0.1333,0.8361,0.9623,198960.000000,0.0368,0.0256,0.6884,0.9474,0
201812,05045,"Faulkner, AR",517,2,30780,"Little Rock-North Little Rock-Conway, AR",501,-40,5,50.3003,46.8468468468468,53.7537537537538,84.00,13.75,0.1957,-2.00,-0.0233,4.00,6.00,0.0240,0.1852,1.0492,1.1636,180000.000000,-0.0266,0.0158,0.6228,1.0006,0
201812,25027,"Worcester, MA",71,1,49340,"Worcester, MA-CT",92,-31,-23,84.284284,74.1741741741742,94.3943943943944,69.00,11.00,0.1897,2.00,0.0299,-11.00,-3.00,-0.0268,0.1848,1.7869,1.0583,319995.000000,0.0003,0.0820,1.1072,1.0670,0
201812,18057,"Hamilton, IN",229,4,26900,"Indianapolis-Carmel-Anderson, IN",194,-29,46,75.375375,60.8608608608609,89.8898898898899,75.00,10.00,0.1538,-4.00,-0.0506,-5.00,3.00,-0.0244,0.2658,1.6393,1.2346,359900.000000,-0.0003,0.0110,1.2453,1.5315,0
201812,24001,"Allegany, MD",746,1,19060,"Cumberland, MD-WV",955,-4,7,7.607608,7.40740740740741,7.80780780780781,121.50,0.50,0.0041,-10.50,-0.0795,41.50,-0.50,-0.1111,0.1429,0.5246,0.9697,109900.000000,0.0000,0.1008,0.3803,0.9557,0
201812,17073,"Henry, IL",934,3,19340,"Davenport-Moline-Rock Island, IA-IL",544,-59,-175,46.596597,46.1461461461461,47.047047047047,85.00,10.00,0.1333,13.00,0.1806,5.00,18.00,-0.1045,0.1538,0.9836,0.8571,109900.000000,-0.0443,0.2314,0.3803,0.7376,0
201812,41003,"Benton, OR",630,1,18700,"Corvallis, OR",436,-142,1,54.854855,52.2522522522522,57.4574574574575,80.00,24.00,0.4286,-7.00,-0.0805,0.00,0.00,0.0469,0.0806,1.0984,1.0000,425000.000000,-0.0101,-0.0339,1.4706,1.0000,1
201812,12057,"Hillsborough, FL",28,3,45300,"Tampa-St. Petersburg-Clearwater, FL",101,16,-27,83.483483,86.1861861861862,80.7807807807808,64.00,7.00,0.1228,-1.00,-0.0154,-16.00,2.00,-0.0282,0.0488,1.4098,0.9885,274999.500000,-0.0169,0.0000,0.9516,1.0581,0
201812,47009,"Blount, TN",475,1,28940,"Knoxville, TN",157,58,141,78.078078,58.1581581581582,97.997997997998,76.00,2.25,0.0305,-6.00,-0.0732,-4.00,-6.00,-0.0120,0.6316,2.0328,1.2525,289900.000000,-0.0052,0.0357,1.0031,1.1154,0
201812,48245,"Jefferson, TX",274,1,13140,"Beaumont-Port Arthur, TX",85,60,-25,85.285285,83.0830830830831,87.4874874874875,65.50,6.50,0.1102,4.50,0.0738,-14.50,-2.50,0.0682,0.1190,1.5410,1.0682,175000.000000,-0.0371,-0.0223,0.6055,0.9728,0
201812,29019,"Boone, MO",365,1,17860,"Columbia, MO",712,-8,-142,32.932933,36.5365365365365,29.3293293293293,90.50,13.50,0.1753,12.50,0.1603,10.50,0.00,0.0426,0.2564,0.8033,1.0000,239450.000000,0.0148,0.0415,0.8285,1.0000,0
201812,17093,"Kendall, IL",574,11,16980,"Chicago-Naperville-Elgin, IL-IN-WI",499,-36,-278,50.4004,63.3633633633634,37.4374374374374,74.00,10.00,0.1563,5.00,0.0725,-6.00,5.00,-0.0182,-0.1563,0.8852,0.9818,250195.000000,-0.0021,0.0212,0.8657,0.8968,0
201812,37023,"Burke, NC",643,3,25860,"Hickory-Lenoir-Morganton, NC",653,15,62,38.188188,17.8178178178178,58.5585585585586,107.50,13.50,0.1436,-22.50,-0.1731,27.50,4.50,0.0303,0.2143,1.1148,0.7391,214900.000000,-0.0053,-0.0449,0.7436,0.9773,0
201812,28071,"Lafayette, MS",916,1,37060,"Oxford, MS",970,1,15,5.755756,9.60960960960961,1.9019019019019,118.00,10.50,0.0977,-14.00,-0.1061,38.00,0.00,-0.0204,0.1429,0.3934,1.0000,261000.000000,-0.0053,-0.1300,0.9031,1.0000,0
201812,20015,"Butler, KS",833,2,48620,"Wichita, KS",135,65,102,79.87988,78.1781781781782,81.5815815815816,67.00,7.75,0.1308,-8.00,-0.1067,-13.00,0.00,0.1069,0.2222,1.4426,1.0602,196200.000000,-0.0898,0.0611,0.6789,1.0682,0
201812,25021,"Norfolk, MA",91,3,14460,"Boston-Cambridge-Newton, MA-NH",20,-8,9,93.093093,87.5875875875876,98.5985985985986,62.50,12.00,0.2376,2.50,0.0417,-17.50,-2.50,0.0275,0.1802,2.1475,0.9776,549900.000000,-0.0086,0.0000,1.9028,1.1000,0
201812,26025,"Calhoun, MI",453,1,12980,"Battle Creek, MI",336,-12,-2,63.713714,72.3723723723724,55.0550550550551,71.00,10.00,0.1639,2.00,0.0290,-9.00,0.00,-0.0299,0.2264,1.0656,1.0000,135450.000000,0.0320,0.2314,0.4687,1.0000,0
201812,36067,"Onondaga, NY",134,1,45060,"Syracuse, NY",251,-45,-29,70.920921,51.0510510510511,90.7907907907908,81.00,12.50,0.1825,5.00,0.0658,1.00,-6.00,0.0149,0.3247,1.6721,1.1860,174800.000000,-0.0009,0.0994,0.6048,1.0932,0
201812,55015,"Calumet, WI",972,2,11540,"Appleton, WI",595,-50,165,42.892893,57.5575575575576,28.2282282282282,77.00,14.00,0.2222,-18.00,-0.1895,-3.00,10.00,0.0652,0.3243,0.8033,0.6901,165450.000000,-0.0262,0.1619,0.5725,0.7879,0
201812,40113,"Osage, OK",988,4,46140,"Tulsa, OK",538,-19,-35,46.946947,65.7657657657658,28.1281281281281,73.50,14.00,0.2353,-3.00,-0.0392,-6.50,5.50,0.0769,0.0889,0.8033,0.9245,178900.000000,0.1931,0.2015,0.6190,0.8519,0
