Month,CountyFIPS,CountyName,Nielsen HH Rank,Hotness Rank Within CBSA,CBSACode,CBSATitle,Hotness Rank ,Hotness Rank M/M,Hotness Rank Y/Y,Hotness Score,Supply Score,Demand Score,Median DOM,Median DOM M/M,Median DOM M/M Perc,Median DOM Y/Y,Median DOM Y/Y Perc,Median DOM (vs US),Median DOM (vs CBSA),Views Per Property M/M,Views Per Property Y/Y,Views Per Property  (vs US),Views Per Property  (vs CBSA),Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Median Listing Price  (vs US),Median Listing Price  (vs CBSA),Quality Flag
201812,24510,"Baltimore city, MD",97,6,12580,"Baltimore-Columbia-Towson, MD",670,29,17,36.836837,69.2692692692693,4.4044044044044,72.00,6.75,0.1034,-5.00,-0.0649,-8.00,0.00,0.0566,0.1667,0.4590,0.5283,169900.000000,-0.0556,0.1334,0.5879,0.5701,0
201812,42007,"Beaver, PA",353,2,38300,"Pittsburgh, PA",461,-94,69,52.902903,43.2432432432432,62.5625625625626,86.50,14.75,0.2056,-1.50,-0.0170,6.50,-1.50,-0.0470,0.3396,1.1639,0.9467,149900.000000,-0.0298,0.0715,0.5187,0.8670,0
201812,42011,"Berks, PA",170,1,39740,"Reading, PA",285,-9,243,66.766767,51.0510510510511,82.4824824824825,81.00,8.00,0.1096,-15.00,-0.1563,1.00,0.00,-0.0588,0.4667,1.4426,1.0000,199900.000000,-0.0476,0.1423,0.6917,1.0000,0
201812,36019,"Clinton, NY",678,1,38460,"Plattsburgh, NY",785,31,15,27.877878,6.90690690690691,48.8488488488488,123.00,4.50,0.0380,-0.50,-0.0040,43.00,0.50,0.0517,0.3261,1.0000,0.9683,160000.000000,-0.1059,0.1437,0.5536,1.0000,0
201812,13045,"Carroll, GA",576,13,12060,"Atlanta-Sandy Springs-Roswell, GA",491,45,-70,51.151151,78.1781781781782,24.1241241241241,67.00,1.00,0.0152,-5.00,-0.0694,-13.00,6.00,-0.0980,0.0000,0.7541,0.7667,219900.000000,0.0169,0.0476,0.7609,0.7061,0
201812,19049,"Dallas, IA",702,3,19780,"Des Moines-West Des Moines, IA",968,-9,-107,6.106106,5.70570570570571,6.50650650650651,125.00,16.75,0.1547,24.00,0.2376,45.00,30.00,0.0164,0.0690,0.5082,0.6327,329850.000000,-0.0002,-0.0099,1.1413,1.1785,0
201812,32510,"Carson City, NV",902,1,16180,"Carson City, NV",127,-31,-54,80.830831,69.2692692692693,92.3923923923924,72.00,12.25,0.2050,4.00,0.0588,-8.00,0.00,-0.0278,0.0714,1.7213,1.0000,349925.000000,0.0007,0.0001,1.2108,1.0000,0
201812,21059,"Daviess, KY",587,1,36980,"Owensboro, KY",458,40,91,53.103103,69.2692692692693,36.9369369369369,72.00,11.00,0.1803,-3.00,-0.0400,-8.00,-2.00,0.0909,0.3846,0.8852,1.0385,173709.000000,0.0224,0.0885,0.6011,1.0241,0
201812,40027,"Cleveland, OK",250,3,36420,"Oklahoma City, OK",469,-28,66,52.452452,58.1581581581582,46.7467467467468,76.00,9.50,0.1429,-3.00,-0.0380,-4.00,6.00,-0.0167,0.3409,0.9672,0.9672,239000.000000,-0.0039,0.0622,0.8270,1.0214,0
201812,42045,"Delaware, PA",122,2,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",133,-30,78,79.87988,60.8608608608609,98.8988988988989,75.00,11.00,0.1719,-6.00,-0.0741,-5.00,-1.00,-0.0181,0.3878,2.2295,1.3204,225000.000000,-0.0758,0.0262,0.7785,0.9000,0
201812,47031,"Coffee, TN",904,1,46100,"Tullahoma-Manchester, TN",278,3,-174,67.917918,76.0760760760761,59.7597597597598,68.00,7.00,0.1148,8.50,0.1429,-12.00,-8.00,-0.0417,0.0147,1.1311,1.1311,216400.000000,0.0310,0.1395,0.7488,0.9020,0
201812,20045,"Douglas, KS",504,1,29940,"Lawrence, KS",182,-68,24,76.326326,63.3633633633634,89.2892892892893,74.00,12.50,0.2033,-8.00,-0.0976,-6.00,0.00,-0.0876,-0.1239,1.6230,1.0000,307500.000000,0.0607,0.1093,1.0640,1.0000,0
201812,31055,"Douglas, NE",120,1,36540,"Omaha-Council Bluffs, NE-IA",63,-9,17,87.337337,99.3993993993994,75.2752752752753,48.00,9.00,0.2308,-4.00,-0.0769,-32.00,-7.00,-0.0122,0.1739,1.3279,1.1096,279400.000000,0.0644,0.0160,0.9668,1.0014,0
201812,29071,"Franklin, MO",583,6,41180,"St. Louis, MO-IL",635,40,-123,39.289289,28.9289289289289,49.6496496496497,96.00,7.00,0.0787,7.00,0.0787,16.00,18.00,0.0167,0.0893,1.0000,0.8472,212450.000000,-0.0074,0.0623,0.7351,1.0628,0
201812,48141,"El Paso, TX",88,1,21340,"El Paso, TX",738,35,72,31.081081,47.3473473473473,14.8148148148148,83.00,5.50,0.0710,-6.00,-0.0674,3.00,0.00,0.0270,0.5833,0.6230,1.0270,175950.000000,0.0054,0.0504,0.6088,1.0011,0
201812,37085,"Harnett, NC",511,1,20380,"Dunn, NC",717,66,152,32.732733,42.3423423423423,23.1231231231231,87.00,2.00,0.0235,-13.00,-0.1300,7.00,0.00,0.0000,0.6667,0.7377,1.0000,213700.000000,-0.0057,0.1523,0.7394,1.0000,0
201812,18059,"Hancock, IN",762,8,26900,"Indianapolis-Carmel-Anderson, IN",428,-116,-20,55.505506,51.0510510510511,59.95995995996,81.00,19.00,0.3065,1.00,0.0125,1.00,9.00,-0.0143,0.1897,1.1311,0.8519,289900.000000,-0.0078,0.0000,1.0031,1.2336,0
201812,21111,"Jefferson, KY",67,1,31140,"Louisville/Jefferson County, KY-IN",42,-8,40,89.389389,90.2902902902903,88.4884884884885,60.00,10.50,0.2121,-2.00,-0.0323,-20.00,-2.50,-0.0154,0.2308,1.5738,1.0105,239000.000000,-0.0058,0.1273,0.8270,0.9958,0
201812,18065,"Henry, IN",991,1,35220,"New Castle, IN",548,4,100,46.146146,28.9289289289289,63.3633633633634,96.00,7.50,0.0847,10.00,0.1163,16.00,3.00,0.0000,0.8000,1.1803,1.0000,84400.000000,-0.0612,0.1268,0.2920,1.0175,0
201812,55073,"Marathon, WI",445,1,48140,"Wausau, WI",530,-5,-59,47.997998,38.4384384384384,57.5575575575576,89.50,15.50,0.2095,1.00,0.0113,9.50,0.00,0.1074,0.1356,1.0984,1.0000,203400.000000,0.0391,0.1690,0.7038,1.0000,0
201812,29095,"Jackson, MO",86,3,28140,"Kansas City, MO-KS",241,-64,-119,71.821822,69.2692692692693,74.3743743743744,72.00,15.50,0.2743,5.00,0.0746,-8.00,-4.00,0.0127,0.0667,1.3115,0.9195,200000.000000,0.0000,0.2121,0.6920,0.7168,0
201812,18097,"Marion, IN",48,3,26900,"Indianapolis-Carmel-Anderson, IN",193,-22,-26,75.425425,81.2812812812813,69.5695695695696,66.00,12.50,0.2336,4.00,0.0645,-14.00,-6.00,0.0000,0.2097,1.2295,0.9259,185000.000000,-0.0079,0.1570,0.6401,0.7872,0
201812,01083,"Limestone, AL",634,2,26620,"Huntsville, AL",924,-38,-94,10.610611,16.4164164164164,4.8048048048048,108.50,17.50,0.1923,16.50,0.1793,28.50,11.50,-0.0794,0.2609,0.4754,0.7838,248169.000000,0.0129,0.0689,0.8587,0.9734,0
201812,48329,"Midland, TX",411,1,33260,"Midland, TX",2,-1,37,98.698699,98.2982982982983,99.0990990990991,52.00,8.50,0.1954,-13.00,-0.2000,-28.00,0.00,0.0432,0.2288,2.3770,1.0211,356500.000000,-0.0083,0.1500,1.2336,1.0163,0
201812,41043,"Linn, OR",508,1,10540,"Albany, OR",494,-35,-77,50.750751,68.968968968969,32.5325325325325,72.50,12.75,0.2134,-1.50,-0.0203,-7.50,0.00,-0.0192,0.0200,0.8361,1.0000,300000.000000,-0.0288,0.0348,1.0381,1.0000,0
201812,01103,"Morgan, AL",505,1,19460,"Decatur, AL",869,15,4,18.118118,24.8248248248248,11.4114114114114,100.50,6.50,0.0691,3.50,0.0361,20.50,5.00,0.0145,0.5217,0.5738,1.0294,189900.000000,-0.0001,0.0851,0.6571,1.0550,0
201812,39099,"Mahoning, OH",263,1,49660,"Youngstown-Warren-Boardman, OH-PA",353,-51,193,61.261261,47.3473473473473,75.1751751751752,83.00,14.00,0.2029,-6.00,-0.0674,3.00,-5.50,-0.0061,0.5577,1.3279,1.1571,124900.000000,0.0000,0.1839,0.4322,1.0496,0
201812,37127,"Nash, NC",612,1,40580,"Rocky Mount, NC",838,43,30,21.071071,15.5155155155155,26.6266266266266,109.00,4.00,0.0381,2.00,0.0187,29.00,-8.00,0.0787,0.4545,0.7869,1.1429,159900.000000,0.0000,0.1073,0.5533,1.1462,0
201812,34029,"Ocean, NJ",113,17,35620,"New York-Newark-Jersey City, NY-NJ-PA",685,-5,-36,35.235235,49.94994994995,20.5205205205205,82.00,9.00,0.1233,0.00,0.0000,2.00,-2.00,-0.0444,0.1944,0.7049,0.8431,319900.000000,-0.0155,0.0699,1.1069,0.6094,0
201812,04017,"Navajo, AZ",620,1,43320,"Show Low, AZ",904,-14,49,13.563564,6.90690690690691,20.2202202202202,123.00,12.00,0.1081,-6.00,-0.0465,43.00,1.00,-0.0337,0.5357,0.7049,0.9348,309400.000000,-0.0249,0.1255,1.0706,0.9699,0
201812,22079,"Rapides, LA",472,1,10780,"Alexandria, LA",852,16,-141,19.96997,21.2212212212212,18.7187187187187,102.00,7.50,0.0794,12.00,0.1333,22.00,-6.00,0.0633,0.1351,0.6885,1.0500,174000.000000,-0.0057,-0.0440,0.6021,1.0000,0
201812,37133,"Onslow, NC",367,1,27340,"Jacksonville, NC",911,13,-1,12.712713,7.50750750750751,17.9179179179179,121.00,6.00,0.0522,13.00,0.1204,41.00,1.00,0.0123,0.5185,0.6721,0.9762,197300.000000,0.0092,0.0551,0.6827,1.0020,0
201812,55105,"Rock, WI",393,1,27500,"Janesville-Beloit, WI",82,-49,-1,85.535536,76.0760760760761,94.994994994995,68.00,14.00,0.2593,0.00,0.0000,-12.00,0.00,-0.0044,0.1915,1.8361,1.0000,169900.000000,-0.0556,0.0439,0.5879,0.9892,0
201812,48367,"Parker, TX",514,6,19100,"Dallas-Fort Worth-Arlington, TX",76,91,23,85.985986,73.7737737737738,98.1981981981982,69.50,0.50,0.0072,-1.50,-0.0211,-10.50,4.50,-0.0231,0.3229,2.0820,1.2700,324700.000000,0.0090,0.0485,1.1235,0.9763,0
201812,53057,"Skagit, WA",498,1,34580,"Mount Vernon-Anacortes, WA",708,-34,114,33.533534,47.3473473473473,19.7197197197197,83.00,12.00,0.1690,-23.00,-0.2170,3.00,0.00,0.0118,0.1316,0.7049,1.0000,444500.000000,-0.0025,0.1115,1.5381,1.0000,0
201812,06061,"Placer, CA",181,3,40900,"Sacramento--Roseville--Arden-Arcade, CA",45,2,-10,89.089089,81.2812812812813,96.8968968968969,66.00,10.50,0.1892,4.00,0.0645,-14.00,7.00,0.0977,0.0172,1.9344,1.1028,560000.000000,0.0054,0.0054,1.9377,1.2472,0
201812,29183,"St. Charles, MO",179,2,41180,"St. Louis, MO-IL",199,-40,-108,74.774775,74.1741741741742,75.3753753753754,69.00,13.00,0.2321,5.00,0.0781,-11.00,-9.00,0.0062,0.0658,1.3279,1.1250,279900.000000,0.0000,0.0562,0.9685,1.4002,0
201812,55117,"Sheboygan, WI",506,1,43100,"Sheboygan, WI",361,-22,-71,60.26026,53.953953953954,66.5665665665666,79.00,13.00,0.1970,0.00,0.0000,-1.00,0.00,0.0350,0.0571,1.2131,1.0000,205950.000000,-0.0553,0.0362,0.7126,1.0000,0
201812,55109,"St. Croix, WI",665,11,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",565,-71,-63,44.644645,53.953953953954,35.3353353353353,79.00,14.50,0.2248,-2.00,-0.0247,-1.00,14.00,-0.0093,0.0600,0.8689,0.7361,302450.000000,-0.0198,0.0431,1.0465,0.8898,0
201812,25025,"Suffolk, MA",68,5,14460,"Boston-Cambridge-Newton, MA-NH",126,27,-80,81.281281,91.7917917917918,70.7707707707708,59.00,13.50,0.2967,6.00,0.1132,-21.00,-6.00,0.0704,-0.0617,1.2459,0.5672,690000.000000,0.0008,-0.0547,2.3875,1.3803,0
201812,22103,"St. Tammany, LA",270,3,35380,"New Orleans-Metairie, LA",347,74,-114,62.162162,43.7437437437437,80.5805805805806,86.00,3.00,0.0361,8.00,0.1026,6.00,4.00,0.0118,0.1026,1.4098,0.9348,265000.000000,-0.0293,-0.0364,0.9170,0.9636,0
201812,06101,"Sutter, CA",684,1,49700,"Yuba City, CA",14,-7,10,95.095095,90.2902902902903,99.8998998998999,60.00,10.25,0.2060,-1.00,-0.0164,-20.00,-7.00,0.1683,0.2292,2.9016,1.2643,307900.000000,-0.0169,-0.0523,1.0654,1.0062,0
201812,39159,"Union, OH",979,2,18140,"Columbus, OH",21,-11,-13,92.942943,91.7917917917918,94.0940940940941,59.00,13.50,0.2967,5.00,0.0926,-21.00,0.00,-0.0268,-0.1679,1.7869,0.9397,229900.000000,0.0424,0.2164,0.7955,1.0000,0
201812,42121,"Venango, PA",889,1,36340,"Oil City, PA",960,-13,-14,7.157157,3.4034034034034,10.9109109109109,136.00,9.75,0.0772,4.00,0.0303,56.00,0.00,-0.0541,0.1290,0.5738,1.0000,89950.000000,-0.0177,0.0050,0.3112,1.0000,0
201812,36115,"Washington, NY",847,1,24020,"Glens Falls, NY",972,0,-38,5.605606,5.10510510510511,6.10610610610611,128.00,7.00,0.0579,3.50,0.0281,48.00,-14.00,0.0000,0.0000,0.5082,1.0000,176250.000000,-0.0760,0.0401,0.6099,0.7597,0
201812,34041,"Warren, NJ",570,3,10900,"Allentown-Bethlehem-Easton, PA-NJ",407,154,127,57.457457,63.3633633633634,51.5515515515516,74.00,-2.00,-0.0263,-9.00,-0.1084,-6.00,-7.00,0.0508,0.2653,1.0164,0.9118,232500.000000,-0.0665,0.0368,0.8045,1.0568,0
201812,17199,"Williamson, IL",754,1,16060,"Carbondale-Marion, IL",894,-22,1,15.015015,21.2212212212212,8.80880880880881,102.00,9.75,0.1057,-1.00,-0.0097,22.00,-5.00,-0.0833,0.2222,0.5410,1.1786,129900.000000,0.0000,-0.0215,0.4495,1.1008,0
201812,55139,"Winnebago, WI",362,1,36780,"Oshkosh-Neenah, WI",509,-8,35,49.499499,51.0510510510511,47.947947947948,81.00,16.00,0.2462,3.00,0.0385,1.00,0.00,0.1215,0.4286,0.9836,1.0000,169900.000000,-0.0178,0.0625,0.5879,1.0000,0
201812,18003,"Allen, IN",186,1,23060,"Fort Wayne, IN",9,-7,17,95.645646,91.7917917917918,99.4994994994995,59.00,12.50,0.2688,-1.00,-0.0167,-21.00,-2.00,0.0132,0.3162,2.5246,1.0405,183500.000000,-0.0045,0.1091,0.6349,1.0200,0
201812,45013,"Beaufort, SC",338,1,25940,"Hilton Head Island-Bluffton-Beaufort, SC",912,-11,4,12.512513,14.6146146146146,10.4104104104104,110.00,7.50,0.0732,-7.00,-0.0598,30.00,3.00,-0.1282,0.0968,0.5574,1.0303,429000.000000,0.0000,0.0738,1.4844,1.0239,0
201812,37013,"Beaufort, NC",936,1,47820,"Washington, NC",980,-10,0,4.154154,0.900900900900901,7.40740740740741,151.50,6.75,0.0466,1.50,0.0100,71.50,0.00,-0.1111,0.2308,0.5246,1.0000,244900.000000,0.0074,0.0421,0.8474,1.0000,0
201812,36011,"Cayuga, NY",697,1,12180,"Auburn, NY",797,-27,35,26.126126,15.5155155155155,36.7367367367367,109.00,8.50,0.0846,-6.50,-0.0563,29.00,0.00,-0.0609,0.3171,0.8852,0.9818,159900.000000,-0.0538,0.0811,0.5533,1.0000,0
201812,34003,"Bergen, NJ",55,12,35620,"New York-Newark-Jersey City, NY-NJ-PA",516,-77,-72,48.848849,53.953953953954,43.7437437437437,79.00,13.00,0.1970,-2.00,-0.0247,-1.00,-5.00,-0.0420,0.0364,0.9344,1.1176,595000.000000,-0.0067,-0.0067,2.0588,1.1335,0
201812,45035,"Dorchester, SC",433,2,16700,"Charleston-North Charleston, SC",479,88,-23,52.052052,78.1781781781782,25.9259259259259,67.00,1.00,0.0152,-6.00,-0.0822,-13.00,-19.00,-0.0208,0.0682,0.7705,1.0444,265000.000000,0.0193,0.0413,0.9170,0.7265,0
201812,18019,"Clark, IN",513,3,31140,"Louisville/Jefferson County, KY-IN",72,9,130,86.786787,90.2902902902903,83.2832832832833,60.00,8.50,0.1650,-2.00,-0.0323,-20.00,-2.50,0.0230,0.5345,1.4590,0.9368,248500.000000,-0.0439,0.0971,0.8599,1.0354,0
201812,08037,"Eagle, CO",951,1,20780,"Edwards, CO",999,0,-1,0.3003,0.3003003003003,0.3003003003003,184.00,4.50,0.0251,-25.00,-0.1196,104.00,0.00,0.0000,0.0000,0.3279,1.0000,635000.000000,0.0079,-0.1533,2.1972,1.0000,0
201812,19045,"Clinton, IA",947,1,17540,"Clinton, IA",564,-8,90,44.694695,47.3473473473473,42.042042042042,83.00,3.00,0.0375,-13.00,-0.1354,3.00,0.00,-0.1163,0.2391,0.9344,1.0000,85900.000000,-0.0064,0.0118,0.2972,1.0000,0
201812,36037,"Genesee, NY",854,1,12860,"Batavia, NY",131,219,339,80.38038,75.975975975976,84.7847847847848,68.50,-5.75,-0.0774,-17.50,-0.2035,-11.50,0.00,0.0964,0.5965,1.4918,1.0000,104900.000000,0.0014,-0.0870,0.3630,1.0000,0
201812,48121,"Denton, TX",85,8,19100,"Dallas-Fort Worth-Arlington, TX",169,3,-120,76.976977,69.2692692692693,84.6846846846847,72.00,11.50,0.1901,10.00,0.1613,-8.00,7.00,0.0286,-0.0323,1.4754,0.9000,369900.000000,0.0012,-0.0515,1.2799,1.1122,0
201812,39085,"Lake, OH",269,4,17460,"Cleveland-Elyria, OH",179,-53,200,76.426426,72.3723723723724,80.4804804804805,71.00,11.50,0.1933,-12.00,-0.1446,-9.00,-2.00,-0.1042,0.3231,1.4098,0.8600,164900.000000,-0.0294,0.0313,0.5706,0.9700,0
201812,13117,"Forsyth, GA",352,16,12060,"Atlanta-Sandy Springs-Roswell, GA",576,56,-95,43.893894,63.3633633633634,24.4244244244244,74.00,8.50,0.1298,3.50,0.0496,-6.00,13.00,0.1646,0.1795,0.7541,0.7667,402635.000000,0.0006,0.0068,1.3932,1.2929,0
201812,20103,"Leavenworth, KS",752,6,28140,"Kansas City, MO-KS",522,-111,-130,48.598599,49.94994994995,47.2472472472472,82.00,14.75,0.2193,2.00,0.0250,2.00,6.00,-0.0840,0.0000,0.9836,0.6897,239350.000000,0.0063,0.0650,0.8282,0.8579,0
201812,21073,"Franklin, KY",912,1,23180,"Frankfort, KY",610,132,60,41.491491,49.6496496496497,33.3333333333333,82.50,-1.25,-0.0149,1.50,0.0185,2.50,-3.50,0.0722,0.6250,0.8525,0.9630,219900.000000,-0.0222,0.3874,0.7609,1.1580,0
201812,26091,"Lenawee, MI",609,1,10300,"Adrian, MI",324,-35,-109,64.364364,49.94994994995,78.7787787787788,82.00,8.25,0.1119,4.00,0.0513,2.00,-1.00,-0.1016,0.0244,1.3770,1.0000,169000.000000,-0.0029,0.2071,0.5848,1.0242,0
201812,48209,"Hays, TX",371,4,12420,"Austin-Round Rock, TX",504,-9,-21,50.25025,52.2522522522522,48.2482482482482,80.00,7.50,0.1034,-7.00,-0.0805,0.00,8.00,-0.0244,0.0714,0.9836,0.9091,329900.000000,0.0031,-0.0297,1.1415,0.9453,0
201812,01089,"Madison, AL",184,1,26620,"Huntsville, AL",809,38,-59,24.574575,32.3323323323323,16.8168168168168,94.00,4.25,0.0474,6.00,0.0682,14.00,-3.00,0.0000,0.3333,0.6557,1.0811,260036.000000,-0.0046,0.1306,0.8998,1.0199,0
201812,48213,"Henderson, TX",685,1,11980,"Athens, TX",689,-41,16,34.984985,25.025025025025,44.9449449449449,100.00,17.50,0.2121,-1.00,-0.0099,20.00,-1.00,0.0087,0.2889,0.9508,1.0000,239000.000000,-0.0203,-0.0804,0.8270,1.0000,0
201812,26121,"Muskegon, MI",377,1,34740,"Muskegon, MI",254,20,188,70.670671,86.1861861861862,55.1551551551552,64.00,8.50,0.1532,-15.00,-0.1899,-16.00,0.00,0.0000,0.2264,1.0656,1.0000,164900.000000,0.0154,0.1067,0.5706,1.0000,0
201812,01069,"Houston, AL",548,1,20020,"Dothan, AL",882,15,47,16.216216,19.3193193193193,13.1131131131131,104.00,6.00,0.0612,-3.00,-0.0280,24.00,-10.50,0.0423,0.6087,0.6066,1.0882,171200.000000,0.0414,0.0822,0.5924,1.0332,0
201812,51740,"Portsmouth city, VA",603,4,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",606,59,24,41.891892,83.5835835835836,0.2002002002002,65.00,5.50,0.0924,-4.00,-0.0580,-15.00,-10.00,-0.0556,0.3077,0.2787,0.5484,166950.000000,0.0057,0.1130,0.5777,0.5984,0
201812,13179,"Liberty, GA",859,1,25980,"Hinesville, GA",812,39,-123,24.224224,47.3473473473473,1.1011011011011,83.00,1.75,0.0215,7.50,0.0993,3.00,-5.00,-0.1200,0.1000,0.3607,1.0476,166200.000000,-0.0112,0.0259,0.5751,0.9503,0
201812,36085,"Richmond, NY",156,9,35620,"New York-Newark-Jersey City, NY-NJ-PA",457,12,-270,53.153153,52.2522522522522,54.0540540540541,80.00,6.00,0.0811,6.00,0.0811,0.00,-4.00,-0.0448,-0.1899,1.0492,1.2549,568888.000000,-0.0141,-0.0011,1.9685,1.0838,0
201812,28089,"Madison, MS",588,2,27140,"Jackson, MS",560,27,-41,44.944945,19.7197197197197,70.1701701701702,103.50,6.75,0.0698,8.50,0.0895,23.50,-1.50,0.0066,0.2667,1.2459,1.1176,349900.000000,-0.0067,-0.0518,1.2107,1.4908,0
201812,45085,"Sumter, SC",566,1,44940,"Sumter, SC",775,64,124,28.778779,30.8308308308308,26.7267267267267,95.00,6.00,0.0674,-13.00,-0.1204,15.00,-1.00,0.1852,0.6552,0.7869,1.0213,156950.000000,-0.0134,0.0093,0.5431,1.0048,0
201812,42085,"Mercer, PA",523,3,49660,"Youngstown-Warren-Boardman, OH-PA",865,-41,19,18.518519,11.8118118118118,25.2252252252252,115.00,14.50,0.1443,-2.00,-0.0171,35.00,26.50,-0.0962,0.3056,0.7705,0.6714,129900.000000,0.0000,0.0758,0.4495,1.0916,0
201812,26163,"Wayne, MI",17,3,19820,"Detroit-Warren-Dearborn, MI",88,-30,-43,84.884885,94.0940940940941,75.6756756756757,58.00,10.50,0.2211,2.00,0.0357,-22.00,-1.00,-0.0636,-0.0241,1.3279,0.8804,120000.000000,-0.0417,0.2645,0.4152,0.5455,0
201812,40119,"Payne, OK",683,1,44660,"Stillwater, OK",500,64,4,50.35035,58.1581581581582,42.5425425425425,76.00,-2.75,-0.0349,-8.00,-0.0952,-4.00,0.00,-0.0732,0.0755,0.9344,1.0000,181000.000000,0.0056,0.0653,0.6263,1.0000,0
201812,24047,"Worcester, MD",881,2,41540,"Salisbury, MD-DE",866,-52,53,18.468468,21.2212212212212,15.7157157157157,102.00,11.50,0.1271,-14.00,-0.1207,22.00,-19.00,-0.1702,0.3000,0.6393,0.9512,307000.000000,-0.0128,0.0268,1.0623,0.9889,0
201812,47141,"Putnam, TN",722,1,18260,"Cookeville, TN",291,-51,-149,66.066066,46.1461461461461,85.985985985986,85.00,15.50,0.2230,16.00,0.2319,5.00,-4.00,-0.0160,0.1948,1.5082,1.1220,257000.000000,0.0156,0.1448,0.8893,1.0713,0
201812,42003,"Allegheny, PA",25,1,38300,"Pittsburgh, PA",333,-58,93,63.913914,52.2522522522522,75.5755755755756,80.00,12.00,0.1765,-7.00,-0.0805,0.00,-8.00,-0.0182,0.2857,1.3279,1.0800,187850.000000,-0.0061,0.0530,0.6500,1.0865,0
201812,27123,"Ramsey, MN",119,1,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",32,13,10,90.940941,95.5955955955956,86.2862862862863,55.00,10.25,0.2291,-4.00,-0.0678,-25.00,-10.00,0.0698,0.0222,1.5082,1.2778,250000.000000,0.0004,0.0050,0.8651,0.7355,0
201812,18011,"Boone, IN",846,7,26900,"Indianapolis-Carmel-Anderson, IN",384,-35,-36,59.159159,42.3423423423423,75.975975975976,87.00,10.75,0.1410,6.00,0.0741,7.00,15.00,-0.0520,0.2424,1.3443,1.0123,449900.000000,0.0173,0.3088,1.5567,1.9145,0
201812,51770,"Roanoke city, VA",540,2,40220,"Roanoke, VA",471,36,71,52.352352,69.2692692692693,35.4354354354354,72.00,3.50,0.0511,-14.00,-0.1628,-8.00,-16.00,-0.0619,0.0600,0.8689,1.0000,139900.000000,0.0084,0.0363,0.4841,0.6361,0
201812,38015,"Burleigh, ND",586,1,13900,"Bismarck, ND",818,7,-81,23.623624,35.6356356356356,11.6116116116116,92.00,11.00,0.1358,6.00,0.0698,12.00,3.00,0.0769,0.2069,0.5738,1.1290,289945.000000,0.0177,0.0547,1.0033,1.0543,0
201812,48401,"Rusk, TX",989,2,30980,"Longview, TX",906,7,2,13.563564,10.1101101101101,17.017017017017,117.00,12.25,0.1169,2.00,0.0174,37.00,14.00,0.0649,0.2813,0.6721,0.6406,179250.000000,-0.0039,0.1716,0.6202,0.9437,0
201812,42019,"Butler, PA",332,5,38300,"Pittsburgh, PA",562,-48,-29,44.744745,28.9289289289289,60.5605605605606,96.00,11.25,0.1327,2.00,0.0213,16.00,8.00,-0.0417,0.2105,1.1311,0.9200,249500.000000,-0.0016,-0.0400,0.8633,1.4430,0
201812,34033,"Salem, NJ",826,11,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",771,39,58,29.079079,8.80880880880881,49.3493493493493,120.00,2.00,0.0169,18.50,0.1823,40.00,44.00,0.0517,0.7941,1.0000,0.5922,139000.000000,-0.0048,0.1583,0.4810,0.5560,0
201812,13057,"Cherokee, GA",299,8,12060,"Atlanta-Sandy Springs-Roswell, GA",306,35,-87,65.265265,83.5835835835836,46.946946946947,65.00,8.50,0.1504,3.00,0.0484,-15.00,4.00,0.0085,0.0536,0.9672,0.9833,349000.000000,0.0011,0.0148,1.2076,1.1206,0
201812,35043,"Sandoval, NM",474,1,10740,"Albuquerque, NM",290,31,133,66.166166,76.0760760760761,56.2562562562563,68.00,8.50,0.1429,-7.00,-0.0933,-12.00,-3.00,0.0154,0.2941,1.0820,1.0820,295000.000000,0.0003,0.0906,1.0208,1.1829,0
201812,04003,"Cochise, AZ",489,1,43420,"Sierra Vista-Douglas, AZ",914,-3,-51,12.412412,12.3123123123123,12.5125125125125,114.50,10.50,0.1010,16.50,0.1684,34.50,0.00,-0.0526,0.3846,0.5902,1.0000,189000.000000,-0.0032,0.1217,0.6540,1.0000,0
201812,13297,"Walton, GA",688,18,12060,"Atlanta-Sandy Springs-Roswell, GA",603,-49,-144,42.442442,63.3633633633634,21.5215215215215,74.00,10.00,0.1563,5.00,0.0725,-6.00,13.00,-0.0538,0.1000,0.7213,0.7333,299000.000000,0.0139,0.0877,1.0346,0.9601,0
201812,39037,"Darke, OH",922,1,24820,"Greenville, OH",630,-54,-80,39.78979,30.8308308308308,48.7487487487488,95.00,12.00,0.1446,9.00,0.1047,15.00,0.00,-0.0687,0.2449,1.0000,1.0000,120000.000000,-0.0544,0.1215,0.4152,1.0000,0
201812,42125,"Washington, PA",292,3,38300,"Pittsburgh, PA",478,-18,53,52.052052,33.5335335335335,70.5705705705706,93.00,11.00,0.1341,-1.00,-0.0106,13.00,5.00,-0.0194,0.3333,1.2459,1.0133,184900.000000,-0.0263,0.0521,0.6398,1.0694,0
