CityName,Status,State(s),1990Population,2000Population,2010Population,2017EstPopulation
Morristown,Metropolitan Statistical Area,TN,"100,591","123,054","136,849","141,225"
Moscow,Micropolitan Statistical Area,ID,"30,617","34,925","37,239","39,333"
Moses Lake,Micropolitan Statistical Area,WA,"54,798","74,714","89,120","95,158"
Moultrie,Micropolitan Statistical Area,GA,"36,645","42,050","45,497","45,835"
Mountain Home,Micropolitan Statistical Area,AR,"31,186","38,365","41,513","41,355"
Mountain Home,Micropolitan Statistical Area,ID,"21,205","29,116","27,038","26,823"
Mount Airy,Micropolitan Statistical Area,NC,"61,704","71,208","73,748","72,224"
Mount Gay - Shamrock (Logan),Micropolitan Statistical Area,WV,"43,032","37,705","36,745","32,925"
Mount Pleasant,Micropolitan Statistical Area,MI,"54,624","63,336","70,311","71,063"
Mount Pleasant,Micropolitan Statistical Area,TX,"33,913","39,651","44,735","45,759"
Mount Sterling,Micropolitan Statistical Area,KY,"34,345","40,174","44,398","46,761"
Mount Vernon,Micropolitan Statistical Area,IL,"37,020","40,051","38,825","38,179"
Mount Vernon,Micropolitan Statistical Area,OH,"47,473","54,482","60,930","61,261"
Mount Vernon - Anacortes,Metropolitan Statistical Area,WA,"79,545","103,017","116,896","125,619"
Muncie,Metropolitan Statistical Area,IN,"119,659","118,769","117,669","115,184"
Murray,Micropolitan Statistical Area,KY,"30,735","34,182","37,191","38,919"
Muscatine,Micropolitan Statistical Area,IA,"39,907","41,723","42,749","42,880"
Muskegon,Metropolitan Statistical Area,MI,"158,983","170,208","172,188","173,693"
Muskogee,Micropolitan Statistical Area,OK,"68,078","69,471","70,988","69,086"
Myrtle Beach - Conway - North Myrtle Beach,Metropolitan Statistical Area,SC-NC,"195,038","269,679","376,722","464,165"
Nacogdoches,Micropolitan Statistical Area,TX,"54,753","59,197","64,524","65,580"
Napa,Metropolitan Statistical Area,CA,"110,765","124,344","136,530","140,973"
Naples - Marco Island,Metropolitan Statistical Area,FL,"152,099","251,412","321,520","372,880"
Nashville-Davidson - Murfreesboro - Franklin,Metropolitan Statistical Area,TN,"1,086,274","1,359,101","1,646,194","1,878,181"
Natchez,Micropolitan Statistical Area,MS-LA,"56,184","54,560","53,119","50,869"
Natchitoches,Micropolitan Statistical Area,LA,"37,254","39,077","39,566","39,021"
New Bern,Metropolitan Statistical Area,NC,"102,541","114,733","126,812","124,864"
Newberry,Micropolitan Statistical Area,SC,"33,172","35,979","37,508","38,488"
New Castle,Micropolitan Statistical Area,IN,"48,139","48,511","49,466","48,476"
New Castle,Micropolitan Statistical Area,PA,"96,246","94,567","91,140","87,069"
New Haven - Milford,Metropolitan Statistical Area,CT,"804,219","823,993","862,462","860,435"
New Orleans - Metairie,Metropolitan Statistical Area,LA,"1,285,262","1,337,740","1,189,859","1,275,762"
New Philadelphia - Dover,Micropolitan Statistical Area,OH,"84,090","90,919","92,582","92,297"
Newport,Micropolitan Statistical Area,OR,"38,889","44,481","46,032","48,920"
