CityName,Status,State(s),1990Population,2000Population,2010Population,2017EstPopulation
Springfield,Metropolitan Statistical Area,OH,"147,538","144,742","138,347","134,557"
Starkville,Micropolitan Statistical Area,MS,"48,597","53,204","57,923","59,564"
State College,Metropolitan Statistical Area,PA,"124,812","135,678","154,030","162,660"
Statesboro,Micropolitan Statistical Area,GA,"43,125","55,961","70,251","76,149"
Staunton,Metropolitan Statistical Area,VA,"97,687","108,953","118,496","121,999"
St. Cloud,Metropolitan Statistical Area,MN,"149,509","167,441","189,093","197,759"
Steamboat Springs,Micropolitan Statistical Area,CO,"14,088","19,679","23,506","25,220"
Stephenville,Micropolitan Statistical Area,TX,"27,991","32,981","37,900","41,969"
Sterling,Micropolitan Statistical Area,CO,"17,567","20,566","22,709","21,896"
Sterling,Micropolitan Statistical Area,IL,"60,186","60,662","58,498","56,118"
Stevens Point,Micropolitan Statistical Area,WI,"61,405","67,181","70,019","70,474"
St. George,Metropolitan Statistical Area,UT,"48,560","90,325","138,115","165,662"
Stillwater,Micropolitan Statistical Area,OK,"61,507","68,201","77,350","81,575"
St. Joseph,Metropolitan Statistical Area,MO-KS,"115,816","123,841","127,332","126,935"
St. Louis,Metropolitan Statistical Area,MO-IL,"2,560,340","2,675,562","2,787,763","2,807,338"
St. Marys,Micropolitan Statistical Area,GA,"30,167","43,658","50,513","53,044"
St. Marys,Micropolitan Statistical Area,PA,"34,878","35,114","31,946","30,197"
Stockton,Metropolitan Statistical Area,CA,"480,628","563,660","685,308","745,424"
Storm Lake,Micropolitan Statistical Area,IA,"19,965","20,415","20,260","20,110"
Sturgis,Micropolitan Statistical Area,MI,"58,913","62,411","61,295","60,947"
Sulphur Springs,Micropolitan Statistical Area,TX,"28,833","31,960","35,161","36,496"
Summerville,Micropolitan Statistical Area,GA,"22,236","25,423","26,015","24,770"
Sumter,Metropolitan Statistical Area,SC,"129,726","137,147","142,429","140,904"
Sunbury,Micropolitan Statistical Area,PA,"96,771","94,867","94,514","92,029"
Susanville,Micropolitan Statistical Area,CA,"27,598","33,828","34,895","31,163"
Sweetwater,Micropolitan Statistical Area,TX,"16,594","15,805","15,217","14,770"
Syracuse,Metropolitan Statistical Area,NY,"659,924","650,133","662,625","654,841"
Tahlequah,Micropolitan Statistical Area,OK,"34,049","42,475","46,985","48,888"
Talladega - Sylacauga,Micropolitan Statistical Area,AL,"74,109","80,734","82,291","80,065"
Tallahassee,Metropolitan Statistical Area,FL,"259,107","320,259","368,770","382,627"
Tampa - St. Petersburg - Clearwater (Tampa Bay Area),Metropolitan Statistical Area,FL,"2,067,959","2,396,038","2,783,469","3,091,399"
Taos,Micropolitan Statistical Area,NM,"23,118","29,981","32,938","32,795"
Taylorville,Micropolitan Statistical Area,IL,"34,418","35,380","34,800","33,102"
Terre Haute,Metropolitan Statistical Area,IN,"181,988","188,146","189,774","186,851"
Texarkana,Metropolitan Statistical Area,TX-AR,"134,098","143,379","149,195","150,355"
The Dalles,Micropolitan Statistical Area,OR,"21,683","23,797","25,211","26,437"
The Villages,Metropolitan Statistical Area,FL,"31,577","53,337","93,420","125,165"
Thomaston,Micropolitan Statistical Area,GA,"26,300","27,761","27,153","26,135"
Thomasville,Micropolitan Statistical Area,GA,"38,943","42,791","44,719","44,779"
Tiffin,Micropolitan Statistical Area,OH,"59,733","58,663","56,742","55,243"
Tifton,Micropolitan Statistical Area,GA,"34,998","38,376","40,131","40,598"
Toccoa,Micropolitan Statistical Area,GA,"23,436","25,442","26,172","25,890"
Toledo,Metropolitan Statistical Area,OH,"654,157","659,190","651,436","644,325"
Topeka,Metropolitan Statistical Area,KS,"210,257","224,568","233,866","233,149"
Torrington,Micropolitan Statistical Area,CT,"174,092","182,183","189,926","182,177"
Traverse City,Micropolitan Statistical Area,MI,"106,497","131,331","143,366","148,671"
Trenton - Princeton,Metropolitan Statistical Area,NJ,"325,759","350,773","367,517","374,733"
Troy,Micropolitan Statistical Area,AL,"27,595","29,688","32,899","33,267"
Truckee - Grass Valley,Micropolitan Statistical Area,CA,"78,510","92,055","98,748","99,814"
Tucson,Metropolitan Statistical Area,AZ,"666,957","843,702","980,260","1,022,769"
Tullahoma - Manchester,Micropolitan Statistical Area,TN,"79,962","93,008","100,209","103,070"
Tulsa,Metropolitan Statistical Area,OK,"761,019","859,635","937,531","990,706"
Tupelo,Micropolitan Statistical Area,MS,"131,111","150,831","161,544","165,342"
Tuscaloosa,Metropolitan Statistical Area,AL,"196,850","214,039","239,215","251,129"
Twin Falls,Metropolitan Statistical Area,ID,"68,718","82,687","99,604","108,751"
Tyler,Metropolitan Statistical Area,TX,"151,309","174,861","209,721","227,727"
Ukiah,Micropolitan Statistical Area,CA,"80,345","86,253","87,840","88,018"
Union,Micropolitan Statistical Area,SC,"30,337","29,939","28,968","27,537"
Union City,Micropolitan Statistical Area,TN,"31,717","32,470","31,807","30,385"
Urbana,Micropolitan Statistical Area,OH,"36,019","38,904","40,093","38,840"
Utica - Rome,Metropolitan Statistical Area,NY,"316,645","300,018","299,348","293,572"
Uvalde,Micropolitan Statistical Area,TX,"23,340","25,919","26,405","27,132"
Valdosta,Metropolitan Statistical Area,GA,"99,244","119,570","139,666","145,437"
Vallejo,Metropolitan Statistical Area,CA,"339,469","394,495","413,344","445,458"
Van Wert,Micropolitan Statistical Area,OH,"30,464","29,654","28,743","28,217"
Vermillion,Micropolitan Statistical Area,SD,"13,186","13,538","13,868","13,990"
Vernal,Micropolitan Statistical Area,UT,"22,211","25,174","32,588","35,150"
Vernon,Micropolitan Statistical Area,TX,"15,121","14,679","13,535","12,764"
Vicksburg,Micropolitan Statistical Area,MS,"47,880","49,668","48,773","46,768"
Victoria,Metropolitan Statistical Area,TX,"80,341","91,000","94,003","99,646"
Vidalia,Micropolitan Statistical Area,GA,"31,451","34,367","36,350","36,030"
Vincennes,Micropolitan Statistical Area,IN,"39,884","39,263","38,440","37,508"
Vineland - Bridgeton,Metropolitan Statistical Area,NJ,"138,053","146,454","156,628","152,538"
Vineyard Haven,Micropolitan Statistical Area,MA,"11,639","15,001","16,535","17,325"
Virginia Beach - Norfolk - Newport News (Hampton Roads),Metropolitan Statistical Area,VA-NC,"1,485,333","1,613,320","1,713,947","1,761,753"
Visalia,Metropolitan Statistical Area,CA,"311,932","368,011","442,178","464,493"
Wabash,Micropolitan Statistical Area,IN,"35,069","34,968","32,885","31,443"
Waco,Metropolitan Statistical Area,TX,"206,835","232,088","252,768","268,696"
Wahpeton,Micropolitan Statistical Area,ND-MN,"25,664","25,127","22,897","22,675"
Walla Walla,Metropolitan Statistical Area,WA,"48,439","55,177","58,781","60,567"
Wapakoneta,Micropolitan Statistical Area,OH,"44,585","46,230","45,949","45,778"
Warner Robins,Metropolitan Statistical Area,GA,"110,397","134,442","167,604","180,578"
Warren,Micropolitan Statistical Area,PA,"45,050","43,784","41,815","39,659"
Warrensburg,Micropolitan Statistical Area,MO,"42,514","48,270","52,595","53,897"
Warsaw,Micropolitan Statistical Area,IN,"65,294","74,053","77,356","79,206"
Washington,Micropolitan Statistical Area,IN,"27,533","29,815","31,654","33,113"
Washington,Micropolitan Statistical Area,NC,"42,283","44,916","47,763","47,088"
Washington - Arlington - Alexandria,Metropolitan Statistical Area,DC-VA-MD-WV,"4,168,621","4,850,183","5,649,670","6,229,866"
Washington Court House,Micropolitan Statistical Area,OH,"27,466","28,474","29,025","28,752"
Waterloo - Cedar Falls,Metropolitan Statistical Area,IA,"158,640","163,721","167,819","169,892"
Watertown,Micropolitan Statistical Area,SD,"27,672","31,439","33,128","34,047"
Watertown - Fort Atkinson,Micropolitan Statistical Area,WI,"67,783","75,855","83,681","84,832"
Watertown - Fort Drum,Metropolitan Statistical Area,NY,"110,943","111,716","116,232","114,187"
Wauchula,Micropolitan Statistical Area,FL,"19,499","26,854","27,731","27,411"
Wausau - Weston,Metropolitan Statistical Area,WI,"142,393","155,533","162,806","163,570"
Waycross,Micropolitan Statistical Area,GA,"48,799","51,121","55,068","55,178"
Weatherford,Micropolitan Statistical Area,OK,"26,897","26,147","27,469","28,800"
Weirton - Steubenville,Metropolitan Statistical Area,WV-OH,"142,523","131,995","124,455","118,250"
Wenatchee,Metropolitan Statistical Area,WA,"78,455","99,200","110,895","118,478"
West Plains,Micropolitan Statistical Area,MO,"31,447","37,273","40,400","40,103"
West Point,Micropolitan Statistical Area,MS,"21,120","21,984","20,634","19,640"
Wheeling,Metropolitan Statistical Area,WV-OH,"159,301","153,200","147,951","141,254"
Whitewater,Micropolitan Statistical Area,WI,"75,000","91,895","102,228","103,082"
Wichita,Metropolitan Statistical Area,KS,"511,111","571,185","623,064","638,268"
Wichita Falls,Metropolitan Statistical Area,TX,"140,375","151,596","151,476","151,230"
Williamsport,Metropolitan Statistical Area,PA,"118,710","120,003","116,108","113,841"
Williston,Micropolitan Statistical Area,ND,"21,129","19,754","22,399","33,349"
Willmar,Micropolitan Statistical Area,MN,"38,761","41,193","42,239","42,743"
Wilmington (Cape Fear),Metropolitan Statistical Area,NC,"149,139","201,386","254,881","288,156"
Wilmington,Micropolitan Statistical Area,OH,"35,444","40,473","42,037","42,009"
Wilson,Micropolitan Statistical Area,NC,"66,061","73,810","81,230","81,671"
Winchester,Metropolitan Statistical Area,VA-WV,"84,168","102,996","128,475","137,887"
Winfield,Micropolitan Statistical Area,KS,"36,915","36,307","36,306","35,361"
Winnemucca,Micropolitan Statistical Area,NV,"12,844","16,081","16,525","16,826"
Winona,Micropolitan Statistical Area,MN,"47,828","49,996","51,461","50,873"
Winston-Salem,Metropolitan Statistical Area,NC,"488,114","569,355","640,554","667,733"
Wisconsin Rapids - Marshfield,Micropolitan Statistical Area,WI,"73,605","75,500","74,749","73,126"
Woodward,Micropolitan Statistical Area,OK,"23,473","22,552","24,232","24,425"
Wooster,Micropolitan Statistical Area,OH,"101,461","111,562","114,516","116,038"
Worcester,Metropolitan Statistical Area,MA-CT,"812,236","859,106","916,802","942,475"
Worthington,Micropolitan Statistical Area,MN,"20,098","20,832","21,378","21,944"
Yakima,Metropolitan Statistical Area,WA,"188,823","222,578","243,237","250,193"
Yankton,Micropolitan Statistical Area,SD,"19,252","21,657","22,438","22,662"
Yauco,Metropolitan Statistical Area,PR,"106,138","118,063","107,237","91,056"
York - Hanover,Metropolitan Statistical Area,PA,"339,574","381,791","434,998","446,078"
Youngstown - Warren - Boardman (Mahoning Valley),Metropolitan Statistical Area,OH-PA,"613,604","603,061","565,799","541,926"
Yuba City,Metropolitan Statistical Area,CA,"122,643","139,196","166,889","173,679"
Yuma,Metropolitan Statistical Area,AZ,"106,895","159,995","195,750","207,534"
Zanesville,Micropolitan Statistical Area,OH,"82,068","84,549","86,086","86,149"
Zapata,Micropolitan Statistical Area,TX,"9,279","12,081","14,018","14,322"
